               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.020723,            0.012119,           0.0042063,             0.82571,             0.90297,             0.90475,             0.70105,            0.012778,           0.0037641,           0.0024431,            0.006337,            0.006337,            0.006337
                  76,            0.020809,            0.012024,           0.0036143,             0.80994,              0.9082,             0.90056,             0.68386,            0.013226,           0.0038649,           0.0027461,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020892,            0.011706,           0.0034782,              0.8224,              0.8921,             0.90243,             0.68612,            0.013583,           0.0038812,           0.0026744,            0.006238,            0.006238,            0.006238
                  78,            0.020473,            0.011708,           0.0035065,              0.8034,             0.90858,             0.92018,             0.70732,            0.012734,           0.0037857,           0.0022278,           0.0061885,           0.0061885,           0.0061885
                  79,            0.018831,            0.011453,           0.0034839,             0.81126,             0.90833,              0.8931,             0.67837,            0.012943,           0.0038977,           0.0025886,            0.006139,            0.006139,            0.006139
                  80,             0.02097,            0.011462,           0.0041004,               0.807,              0.8721,             0.89145,             0.68627,            0.012684,           0.0039269,           0.0024683,           0.0060895,           0.0060895,           0.0060895
                  81,            0.018871,            0.011749,           0.0032686,             0.80578,             0.82351,             0.87914,               0.686,            0.012682,           0.0037277,           0.0030582,             0.00604,             0.00604,             0.00604
                  82,            0.020079,            0.011286,           0.0034167,             0.82783,             0.90086,             0.91287,             0.68843,            0.013977,           0.0036389,           0.0022866,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020244,            0.011678,            0.004949,             0.82337,             0.92041,             0.91975,             0.69353,            0.013206,           0.0039509,           0.0030023,            0.005941,            0.005941,            0.005941
                  84,            0.019073,            0.011364,           0.0028827,             0.79941,             0.93578,             0.91697,             0.71518,            0.013823,           0.0036249,           0.0024851,           0.0058915,           0.0058915,           0.0058915
                  85,            0.018071,            0.011455,           0.0026992,             0.84521,             0.88365,             0.92523,             0.71043,            0.012986,           0.0036885,           0.0026093,            0.005842,            0.005842,            0.005842
                  86,            0.020765,            0.011347,           0.0029682,             0.81884,             0.90442,             0.90646,              0.7058,            0.013162,           0.0037262,            0.002652,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019806,            0.011387,           0.0033151,             0.81312,             0.91729,             0.91728,             0.70963,            0.012767,           0.0035674,           0.0024475,            0.005743,            0.005743,            0.005743
                  88,            0.018704,            0.011414,           0.0032569,              0.8083,             0.93238,             0.91451,             0.71218,            0.012805,           0.0036293,            0.002283,           0.0056935,           0.0056935,           0.0056935
                  89,             0.01951,            0.011225,           0.0028501,             0.83465,             0.91235,             0.91448,              0.6998,            0.012699,           0.0036127,           0.0022547,            0.005644,            0.005644,            0.005644
                  90,            0.018978,            0.011049,           0.0029721,             0.83534,             0.89795,             0.91762,             0.69994,            0.013189,           0.0036406,            0.002791,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019372,            0.011186,           0.0032142,             0.83636,             0.93385,             0.91865,              0.7051,            0.013827,           0.0035663,           0.0023926,            0.005545,            0.005545,            0.005545
                  92,            0.019202,            0.011044,           0.0026323,             0.82464,             0.94355,             0.94104,             0.72638,            0.012989,            0.003494,            0.002301,           0.0054955,           0.0054955,           0.0054955
                  93,            0.019721,            0.011291,             0.00267,             0.84016,             0.88615,             0.92754,             0.71878,            0.013573,           0.0035409,           0.0022311,            0.005446,            0.005446,            0.005446
                  94,            0.019859,            0.011144,           0.0028347,             0.81777,             0.92832,             0.93037,             0.72985,            0.013106,           0.0036263,           0.0023546,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018737,            0.011021,            0.002726,             0.80837,             0.93659,             0.93162,             0.72986,             0.01282,           0.0036464,           0.0022838,            0.005347,            0.005347,            0.005347
                  96,            0.019959,            0.011287,           0.0031481,             0.82288,             0.95308,             0.93437,             0.73301,            0.012866,           0.0035813,           0.0023143,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018321,            0.011117,           0.0026714,             0.84019,               0.928,             0.92979,             0.72699,            0.012372,           0.0036058,            0.001953,            0.005248,            0.005248,            0.005248
                  98,            0.018665,            0.010961,            0.002932,             0.80932,             0.95608,             0.92653,             0.72147,            0.012968,           0.0035897,           0.0025053,           0.0051985,           0.0051985,           0.0051985
                  99,            0.019126,            0.011157,           0.0030569,             0.83552,             0.92082,             0.92155,             0.72778,            0.012393,           0.0036205,           0.0023508,            0.005149,            0.005149,            0.005149
